,Elapsed_time(gRPC) [sec],Elapsed_time(REST) [sec]
get_content_1_1,0.001,0.002
get_content_1_10,0.004,0.013
get_content_1_40,0.014,0.059
get_content_1_70,0.024,0.096
get_content_10_1,0.001,0.002
get_content_10_10,0.005,0.015
get_content_10_40,0.020,0.062
get_content_10_70,0.036,0.105
get_content_100_1,0.003,0.003
get_content_100_10,0.022,0.024
get_content_100_40,0.086,0.098
get_content_100_70,0.150,0.164
get_content_50_1,0.002,0.002
get_content_50_10,0.012,0.019
get_content_50_40,0.049,0.078
get_content_50_70,0.086,0.130
get_empty_1,0.003,0.003
get_empty_10,0.003,0.014
get_empty_40,0.012,0.055
get_empty_70,0.021,0.091
post_bin_1_1,0.002,0.002
post_bin_1_10,0.005,0.018
post_bin_1_40,0.021,0.075
post_bin_1_70,0.038,0.117
post_bin_30_1,0.014,0.064
post_bin_30_10,0.110,0.642
post_bin_30_40,0.439,2.675
post_bin_30_70,0.763,3.902
post_bin_5_1,0.003,0.007
post_bin_5_10,0.018,0.073
post_bin_5_40,0.073,0.293
post_bin_5_70,0.114,0.435
post_text_1_1,0.002,0.003
post_text_1_10,0.006,0.019
post_text_1_40,0.027,0.083
post_text_1_70,0.047,0.128
post_text_30_1,0.020,0.083
post_text_30_10,0.072,0.769
post_text_30_40,0.300,3.200
post_text_30_70,0.525,4.629
post_text_5_1,0.005,0.017
post_text_5_10,0.017,0.079
post_text_5_40,0.070,0.335
post_text_5_70,0.117,0.483
